Début;DesG;DesSG;Fin;IdxG;IdxP;IdxPar;IdxSG;TexteLibre
;non;Sélection;;403110101;9010000002;9010000000;403110100;
;non;Sélection;;403110101;9010000003;9010000000;403110100;
;non;Sélection;;403110101;9010000004;9010000000;403110100;
;non;Sélection;;403110101;9010000005;9010000000;403110100;
;non;Sélection;;403110101;9010000006;9010000000;403110100;
;non;Sélection;;403110101;9010000007;9010000000;403110100;
;non;Sélection;;403110101;9010000009;9010000000;403110100;
;non;Sélection;;403110101;9010000011;9010000000;403110100;
;non;Sélection;;403110101;9010000012;9010000000;403110100;
;non;Sélection;;403110101;9010000013;9010000000;403110100;
;non;Sélection;;403110101;9010000014;9010000000;403110100;
;non;Sélection;;403110101;9010000015;9010000000;403110100;
;non;Sélection;;403110101;9010000017;9010000000;403110100;
;non;Sélection;;403110101;9010000018;9010000000;403110100;
;non;Sélection;;403110101;9010000019;9010000000;403110100;
;non;Sélection;;403110101;9010000021;9010000000;403110100;
;non;Sélection;;403110101;9010000022;9010000000;403110100;
;non;Sélection;;403110101;9010000023;9010000000;403110100;
;non;Sélection;;403110101;9010000024;9010000000;403110100;
;non;Sélection;;403110101;9010000025;9010000000;403110100;
;non;Sélection;;403110101;9010000026;9010000000;403110100;
;non;Sélection;;403110101;9010000027;9010000000;403110100;
;non;Sélection;;403110101;9010000028;9010000000;403110100;
;non;Sélection;;403110101;9010000031;9010000000;403110100;
;non;Sélection;;403110101;9010000032;9010000000;403110100;
;non;Sélection;;403110101;9010000034;9010000000;403110100;
;non;Sélection;;403110101;9010000036;9010000000;403110100;
;non;Sélection;;403110101;9010000037;9010000000;403110100;
;non;Sélection;;403110101;9010000038;9010000000;403110100;
;non;Sélection;;403110101;9010000039;9010000000;403110100;
;non;Sélection;;403110101;9010000040;9010000000;403110100;
;non;Sélection;;403110101;9010000041;9010000000;403110100;
;non;Sélection;;403110101;9010000042;9010000000;403110100;
;non;Sélection;;403110101;9010000044;9010000000;403110100;
;non;Sélection;;403110101;9010000045;9010000000;403110100;
;non;Sélection;;403110101;9010000046;9010000000;403110100;
;non;Sélection;;403110101;9010000047;9010000000;403110100;
;non;Sélection;;403110101;9010000048;9010000000;403110100;
;non;Sélection;;403110101;9010000049;9010000000;403110100;
;non;Sélection;;403110101;9010000050;9010000000;403110100;
;non;Sélection;;403110101;9010000051;9010000000;403110100;
;non;Sélection;;403110101;9010000052;9010000000;403110100;
;non;Sélection;;403110101;9010000053;9010000000;403110100;
;non;Sélection;;403110101;9010000054;9010000000;403110100;
;non;Sélection;;403110101;9010000056;9010000000;403110100;
;non;Sélection;;403110101;9010000057;9010000000;403110100;
;non;Sélection;;403110101;9010000058;9010000000;403110100;
;non;Sélection;;403110101;9010000059;9010000000;403110100;
;non;Sélection;;403110101;9010000060;9010000000;403110100;
;non;Sélection;;403110101;9010000061;9010000000;403110100;
;non;Sélection;;403110101;9010000062;9010000000;403110100;
;non;Sélection;;403110101;9010000065;9010000000;403110100;
;non;Sélection;;403110101;9010000067;9010000000;403110100;
;non;Sélection;;403110101;9010000068;9010000000;403110100;
;non;Sélection;;403110101;9010000069;9010000000;403110100;
;non;Sélection;;403110101;9010000070;9010000000;403110100;
;non;Sélection;;403110101;9010000072;9010000000;403110100;
;non;Sélection;;403110101;9010000073;9010000000;403110100;
;non;Sélection;;403110101;9010000075;9010000000;403110100;
;non;Sélection;;403110101;9010000076;9010000000;403110100;
;non;Sélection;;403110101;9010000077;9010000000;403110100;
;non;Sélection;;403110101;9010000079;9010000000;403110100;
;non;Sélection;;403110101;9010000080;9010000000;403110100;
;non;Sélection;;403110101;9010000081;9010000000;403110100;
;non;Sélection;;403110101;9010000082;9010000000;403110100;
;non;Sélection;;403110101;9010000084;9010000000;403110100;
;non;Sélection;;403110101;9010000086;9010000000;403110100;
;non;Sélection;;403110101;9010000088;9010000000;403110100;
;non;Sélection;;403110101;9010000091;9010000000;403110100;
;non;Sélection;;403110101;9010000092;9010000000;403110100;
;non;Sélection;;403110101;9010000093;9010000000;403110100;
;non;Sélection;;403110101;9010000094;9010000000;403110100;
;non;Sélection;;403110101;9010000097;9010000000;403110100;
;non;Sélection;;403110101;9010000098;9010000000;403110100;
;non;Sélection;;403110101;9010000099;9010000000;403110100;
;non;Sélection;;403110101;9010000100;9010000000;403110100;
;non;Sélection;;403110101;9010000101;9010000000;403110100;
;non;Sélection;;403110101;9010000102;9010000000;403110100;
;non;Sélection;;403110101;9010000103;9010000000;403110100;
;non;Sélection;;403110101;9010000104;9010000000;403110100;
;non;Sélection;;403110101;9010000105;9010000000;403110100;
;non;Sélection;;403110101;9010000106;9010000000;403110100;
;non;Sélection;;403110101;9010000107;9010000000;403110100;
;non;Sélection;;403110101;9010000108;9010000000;403110100;
;non;Sélection;;403110101;9010000109;9010000000;403110100;
;non;Sélection;;403110101;9010000110;9010000000;403110100;
;non;Sélection;;403110101;9010000111;9010000000;403110100;
;non;Sélection;;403110101;9010000113;9010000000;403110100;
;non;Sélection;;403110101;9010000115;9010000000;403110100;
;non;Sélection;;403110101;9010000116;9010000000;403110100;
;non;Sélection;;403110101;9010000117;9010000000;403110100;
;non;Sélection;;403110101;9010000119;9010000000;403110100;
;non;Sélection;;403110101;9010000120;9010000000;403110100;
;non;Sélection;;403110101;9010000122;9010000000;403110100;
;non;Sélection;;403110101;9010000127;9010000000;403110100;
;non;Sélection;;403110101;9010000128;9010000000;403110100;
;non;Sélection;;403110101;9010000129;9010000000;403110100;
;non;Sélection;;403110101;9010000131;9010000000;403110100;
;non;Sélection;;403110101;9010000132;9010000000;403110100;
;non;Sélection;;403110101;9010000133;9010000000;403110100;
;non;Sélection;;403110101;9010000135;9010000000;403110100;
;non;Sélection;;403110101;9010000136;9010000000;403110100;
;non;Sélection;;403110101;9010000139;9010000000;403110100;
;non;Sélection;;403110101;9010000142;9010000000;403110100;
;non;Sélection;;403110101;9010000144;9010000000;403110100;
;non;Sélection;;403110101;9010000145;9010000000;403110100;
;non;Sélection;;403110101;9010000146;9010000000;403110100;
;non;Sélection;;403110101;9010000147;9010000000;403110100;
;non;Sélection;;403110101;9010000148;9010000000;403110100;
;non;Sélection;;403110101;9010000149;9010000000;403110100;
;non;Sélection;;403110101;9010000150;9010000000;403110100;
;non;Sélection;;403110101;9010000151;9010000000;403110100;
;non;Sélection;;403110101;9010000152;9010000000;403110100;
;non;Sélection;;403110101;9010000153;9010000000;403110100;
;non;Sélection;;403110101;9010000154;9010000000;403110100;
;non;Sélection;;403110101;9010000156;9010000000;403110100;
;non;Sélection;;403110101;9010000157;9010000000;403110100;
;non;Sélection;;403110101;9010000159;9010000000;403110100;
;non;Sélection;;403110101;9010000160;9010000000;403110100;
;non;Sélection;;403110101;9010000161;9010000000;403110100;
;non;Sélection;;403110101;9010000165;9010000000;403110100;
;non;Sélection;;403110101;9010000170;9010000000;403110100;
;non;Sélection;;403110101;9010000171;9010000000;403110100;
;non;Sélection;;403110101;9010000172;9010000000;403110100;
;non;Sélection;;403110101;9010000173;9010000000;403110100;
;non;Sélection;;403110101;9010000174;9010000000;403110100;
;non;Sélection;;403110101;9010000175;9010000000;403110100;
;non;Sélection;;403110101;9010000180;9010000000;403110100;
;non;Sélection;;403110101;9010000181;9010000000;403110100;
;non;Sélection;;403110101;9010000182;9010000000;403110100;
;non;Sélection;;403110101;9010000183;9010000000;403110100;
;non;Sélection;;403110101;9010000184;9010000000;403110100;
;non;Sélection;;403110101;9010000186;9010000000;403110100;
;non;Sélection;;403110101;9010000187;9010000000;403110100;
;non;Sélection;;403110101;9010000188;9010000000;403110100;
;non;Sélection;;403110101;9010000189;9010000000;403110100;
;non;Sélection;;403110101;9010000190;9010000000;403110100;
;non;Sélection;;403110101;9010000191;9010000000;403110100;
;non;Sélection;;403110101;9010000192;9010000000;403110100;
;non;Sélection;;403110101;9010000193;9010000000;403110100;
;non;Sélection;;403110101;9010000194;9010000000;403110100;
;non;Sélection;;403110101;9010000195;9010000000;403110100;
;non;Sélection;;403110101;9010000196;9010000000;403110100;
;non;Sélection;;403110101;9010000197;9010000000;403110100;
;non;Sélection;;403110101;9010000199;9010000000;403110100;
;non;Sélection;;403110101;9010000200;9010000000;403110100;
;non;Sélection;;403110101;9010000204;9010000000;403110100;
;non;Sélection;;403110101;9010000205;9010000000;403110100;
;non;Sélection;;403110101;9010000206;9010000000;403110100;
;non;Sélection;;403110101;9010000207;9010000000;403110100;
;non;Sélection;;403110101;9010000209;9010000000;403110100;
;non;Sélection;;403110101;9010000210;9010000000;403110100;
;non;Sélection;;403110101;9010000214;9010000000;403110100;
;non;Sélection;;403110101;9010000216;9010000000;403110100;
;non;Sélection;;403110101;9010000217;9010000000;403110100;
;non;Sélection;;403110101;9010000218;9010000000;403110100;
;non;Sélection;;403110101;9010000219;9010000000;403110100;
;non;Sélection;;403110101;9010000220;9010000000;403110100;
