DesSG;IdxPar;IdxSG
Sélection;9010000000;403110100
Enfants;9010000000;403050200
Secteur paroissial;9010000000;403110200
Zone;9010000000;403110300
Langue maternelle;9010000000;403110400
Code Famille;9020000000;403110100
CodeRue;9020000000;403110200
Envois;9020000000;403110300
Langue maternelle;9020000000;403110400
Secteur 2;9020000000;403110500
Secteur auto;9020000000;403110600
Secteur;9020000000;403110700
Distribution Activités;9020000000;403110800
Activités JP;9000000000;303040200
Alliance;9000000000;303040300
Baptême;9000000000;303040400
atelier Rameaux 1;9000000000;303040500
atelier Rameaux 2;9000000000;303040600
atelier Rameaux 3;9000000000;303040700
atelier Rameaux 4;9000000000;303040800
Confirmation;9000000000;303040900
Demande bap conf;9000000000;303041100
Fin KT;9000000000;303041200
Groupe JP;9000000000;303041300
Heure;9000000000;303041400
JAC;9000000000;303041500
Jour1;9000000000;303041600
Jour3;9000000000;303041700
Jour4;9000000000;303041800
Jours;9000000000;303041900
Marquage;9000000000;303042100
Langue maternelle KTQ;9000000000;303042000
Module Cène;9000000000;303042200
Musique;9000000000;303042300
Pasteur;9000000000;303042400
Prép date 1;9000000000;303042600
prép Date 2;9000000000;303042700
Prép Date 3;9000000000;303042800
Responsable KT1 a;9000000000;303043100
Responsable KT2 a;9000000000;303043200
Responsable KT2 b;9000000000;303043300
Responsable KT3 a;9000000000;303043400
Responsable KT3 b;9000000000;303043500
Titre module KT1a;9000000000;303043900
Titre module KT1a rempl;9000000000;303044000
Titre module KT1b;9000000000;303044100
Titre module KT1b rempl;9000000000;303044200
Titre module KT2a;9000000000;303044300
Titre module KT2a rempl;9000000000;303044400
Titre module KT2b;9000000000;303044500
Titre module KT2b rempl;9000000000;303044600
Titre module KT3a;9000000000;303044700
Titre module KT3a rempl;9000000000;303044800
Titre module KT3b;9000000000;303044900
Volée;9000000000;303045000
Date réponse KT1;9000000000;303045100
Date réponse KT3;9000000000;303045200
Date réponse KT2;9000000000;303045300
Date réponse TU1;9000000000;303045400
Volée_A;9000000000;303045500
