;;;;Catégories;;;;;;Groupes réels;;;Accès tâches utilisateur;;;;;;;;;;;;;;Région Morges;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Secrétariats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; Central;;;Régional;;;Paroissial;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Superstructures groupes A;;Superstructures groupes B;;Superstructures groupes C;;Groupes;;Sous-Groupes A;Consultation;Composition;Définition;Consultation;Composition;Définition;Consultation;Composition;Définition;Abacus;A décider…;Focntions;Bénévoles;Code FM pro;;;;;;;;;;;;;;;;;;
10000;1;0100000000;1;Paramètres transversaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11000;1.1;0101000000;;;1;Fonctions générales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11100;1.1.1;0101010000;;;;;1;Fonctions en Assemblée;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
11110;1.1.1 - 1;0101010100;;;;;;;1;Membre;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11120;1.1.1 - 2;0101010200;;;;;;;2;Président;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11130;1.1.1 - 3;0101010300;;;;;;;3;Vice-président;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11140;1.1.1 - 4;0101010400;;;;;;;4;Secrétaire;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11150;1.1.1 - 5;0101010500;;;;;;;5;Scrutateur;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11160;1.1.1 - 6;0101010600;;;;;;;6;Membre du Bureau;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11200;1.1.2;0101020000;;;;;2;Fonction en Conseil;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
11210;1.1.2 - 1;0101020100;;;;;;;1;Membre;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11220;1.1.2 - 2;0101020200;;;;;;;2;Président;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11230;1.1.2 - 3;0101020300;;;;;;;3;Vice-président;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11240;1.1.2 - 4;0101020400;;;;;;;4;Secrétaire;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11250;1.1.2 - 5;0101020500;;;;;;;5;Trésorier;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11260;1.1.2 - 6;0101020600;;;;;;;6;Membre du Bureau;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11300;1.1.3;0101030000;;;;;3;Fonctions en Commission;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;
11310;1.1.3 - 1;0101030100;;;;;;;1;Membre;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11320;1.1.3 - 2;0101030200;;;;;;;2;Président;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
